timestamp,num_objects,min_ttc
1750356007.078491,0,inf
1750356007.134217,0,inf
1750356007.280917,4,4.769037
1750356007.354307,4,inf
1750356007.405520,4,inf
1750356007.462837,4,5.984218
1750356007.542475,2,6.420701
1750356007.847840,3,4.549539
1750356007.923668,4,4.343987
1750356007.983150,4,4.293712
1750356008.146149,4,4.698925
1750356008.212066,3,5.316673
1750356008.264858,5,4.689033
1750356008.388906,6,3.920031
1750356008.658820,5,5.179190
1750356008.759505,8,4.282649
1750356008.897622,6,4.012224
1750356008.968315,5,4.146298
1750356009.062260,4,4.316141
1750356009.183042,4,4.581068
1750356009.283094,4,4.782578
1750356009.324904,4,4.914480
1750356009.538173,4,5.724752
1750356009.640773,4,6.392981
1750356009.863067,3,6.214647
1750356010.010170,2,6.168575
1750356010.115712,3,11.295493
1750356010.221916,2,11.927392
1750356010.427370,2,14.397077
1750356010.473782,2,17.438572
1750356010.573740,1,29.843283
1750356010.717850,2,32.347450
1750356010.803794,1,54.350082
1750356010.875599,3,39.967514
1750356011.000098,1,98.962276
1750356011.258451,1,37.710912
1750356011.375343,1,132.563016
1750356011.497521,1,238.010006
1750356011.605566,2,380.686872
1750356011.652572,3,inf
1750356011.845385,1,inf
1750356011.893486,2,inf
1750356012.161809,0,inf
1750356012.355607,0,inf
1750356012.455997,1,inf
1750356012.554222,1,inf
1750356012.772680,1,inf
1750356012.808194,1,inf
1750356012.929856,1,inf
1750356013.005242,1,inf
1750356013.075259,1,inf
1750356013.208446,1,75.612556
1750356013.258208,1,inf
1750356013.363552,0,inf
1750356013.542978,0,inf
1750356013.711134,0,inf
1750356013.806476,0,inf
1750356014.006374,1,inf
1750356014.103490,0,inf
1750356014.220960,0,inf
1750356014.376512,0,inf
1750356014.498476,0,inf
1750356014.718840,1,23.288774
1750356014.822463,0,inf
1750356014.939340,2,21.653742
1750356015.005772,2,24.566235
1750356015.158950,1,23.059156
1750356015.229418,3,19.101833
1750356015.465169,2,19.276297
1750356015.559974,2,18.479832
1750356015.673204,2,17.082297
1750356015.811223,2,15.136309
1750356015.875808,2,13.870444
1750356016.021067,2,13.020583
1750356016.131428,2,11.977053
1750356016.181288,2,12.160779
1750356016.424491,3,11.485164
1750356016.573971,2,11.703797
1750356016.704223,3,11.006120
1750356016.886515,2,9.917284
1750356016.923018,2,9.388731
1750356017.031594,4,11.936755
1750356017.098683,3,11.580671
1750356017.176801,2,11.788677
1750356017.264471,4,12.187661
1750356017.500831,1,10.805978
1750356017.538176,3,11.426263
1750356017.669330,2,10.937694
1750356017.748315,4,11.956558
1750356017.942423,2,11.591952
1750356018.152264,3,5.318773
1750356018.216575,3,15.086739
1750356018.274097,3,13.820569
1750356018.379904,3,15.324320
1750356018.578469,2,16.185537
1750356018.657486,2,18.764427
1750356018.752793,2,26.557854
1750356018.901684,4,14.887947
1750356019.045433,4,37.695102
1750356019.126424,5,40.541179
1750356019.179734,4,38.152641
1750356019.293661,2,33.150184
1750356019.423765,4,14.026235
1750356019.775708,2,14.280013
1750356019.825761,3,14.196627
1750356019.921685,5,16.659723
1750356020.059697,3,16.215977
1750356020.225074,5,15.416580
1750356020.277410,7,14.114402
1750356020.378085,4,8.991609
1750356020.461054,6,12.729860
1750356020.617054,5,15.460821
1750356020.738001,1,24.171963
1750356021.013805,2,36.352616
1750356021.150558,1,inf
1750356021.193106,1,inf
1750356021.406316,0,inf
1750356021.476262,4,14.722182
1750356021.649903,1,18.882883
1750356021.879813,3,26.502809
1750356022.057950,2,69.487532
1750356022.180111,4,45.447229
1750356022.238920,3,inf
1750356022.330313,2,inf
1750356022.421164,2,inf
1750356022.586584,4,66.219513
1750356022.639314,4,7.424844
1750356022.846877,2,24.533656
1750356022.907864,2,3.883609
1750356023.077405,3,inf
1750356023.240756,1,inf
1750356023.364350,1,inf
1750356023.426908,1,inf
1750356023.624681,0,inf
1750356023.721102,1,inf
1750356023.809037,1,inf
1750356023.948428,1,inf
1750356023.992353,2,inf
1750356024.046167,3,inf
1750356024.170353,2,inf
1750356024.328453,1,inf
1750356024.619657,0,inf
1750356024.662865,1,inf
1750356024.720755,1,inf
1750356024.837025,2,143.541572
1750356025.028664,0,inf
1750356025.093248,1,inf
1750356025.226081,2,22.609419
1750356025.423055,0,inf
1750356025.624108,0,inf
1750356025.676517,3,inf
1750356025.764415,4,inf
1750356025.985679,0,inf
1750356026.048697,2,inf
1750356026.203997,2,inf
1750356026.353985,1,inf
1750356026.455413,3,inf
1750356026.564352,2,inf
1750356026.669458,0,inf
1750356026.858687,0,inf
1750356026.940015,1,inf
1750356027.040708,1,inf
1750356027.094178,2,inf
1750356027.154101,1,inf
1750356027.298866,1,inf
1750356027.363327,1,inf
1750356027.576568,0,inf
1750356027.657687,1,23.045206
1750356027.759610,1,inf
1750356027.866762,1,inf
1750356027.953881,1,inf
1750356028.078618,1,inf
1750356028.263458,1,inf
1750356028.446559,1,inf
1750356028.636687,1,inf
1750356028.680970,1,inf
1750356028.868214,1,inf
1750356029.044022,1,inf
1750356029.088984,1,inf
1750356029.208843,2,40.295627
1750356029.319341,2,41.249129
1750356029.464041,2,17.569295
1750356029.580687,2,17.178647
1750356029.850514,2,14.010647
1750356030.077601,1,inf
1750356030.129478,2,11.440559
1750356030.175253,2,10.843544
1750356030.339360,2,10.407194
1750356030.387901,1,10.195734
1750356030.470862,1,9.142462
1750356030.659944,1,7.591378
1750356030.915418,1,5.618891
1750356031.115748,2,5.358016
1750356031.264925,2,4.976855
1750356031.324772,3,5.268151
1750356031.525010,3,4.998137
1750356031.676280,4,4.643625
1750356031.962228,2,4.377280
1750356032.222042,1,6.658781
1750356032.319968,1,6.442580
1750356032.409009,3,4.299928
1750356032.472735,3,4.877298
1750356032.605538,3,3.905042
1750356032.848511,1,5.850374
1750356033.057917,0,inf
1750356033.107179,2,5.844736
1750356033.165190,3,2.916471
1750356033.366982,2,5.022590
1750356033.411846,2,5.116620
1750356033.608400,1,4.770255
1750356033.709632,3,2.273972
1750356033.771860,3,4.566186
1750356033.890731,3,2.053162
1750356034.009336,3,1.656018
1750356034.170477,2,3.895708
1750356034.259253,2,3.726026
1750356034.373194,3,3.513996
1750356034.567875,1,3.289158
1750356034.712896,1,2.922646
1750356034.767258,1,3.077537
1750356035.099113,1,3.058200
1750356035.178595,1,3.043722
1750356035.329838,2,2.851096
1750356035.456714,2,inf
1750356035.553481,2,inf
1750356035.613936,2,inf
1750356035.817789,1,inf
1750356035.863448,0,inf
1750356035.914155,0,inf
1750356036.029840,0,inf
1750356036.200181,0,inf
1750356036.246367,0,inf
1750356036.371858,0,inf
1750356036.429746,0,inf
1750356036.482469,0,inf
1750356036.716752,1,inf
1750356036.850163,2,inf
1750356036.917473,3,2.616972
1750356037.069502,1,2.274955
1750356037.328906,2,2.231873
1750356037.401900,3,1.829173
1750356037.633629,4,1.830844
1750356037.692239,4,1.738622
1750356037.906577,4,1.585695
1750356038.016928,5,1.405948
1750356038.306622,4,1.236977
1750356038.351862,2,0.968045
1750356038.429492,2,1.079735
1750356038.515460,3,2.010053
1750356038.578403,3,1.829535
