timestamp,num_objects,min_ttc
1750414331.413752,0,inf
1750414331.444112,0,inf
1750414331.472352,0,inf
1750414331.496924,0,inf
1750414331.524344,0,inf
1750414331.546419,0,inf
1750414331.603315,0,inf
1750414331.804548,0,inf
1750414331.935426,0,inf
1750414332.219182,0,inf
1750414332.271661,0,inf
1750414332.371868,1,inf
1750414332.434925,1,inf
1750414332.618048,0,inf
1750414332.703691,0,inf
1750414332.785611,1,inf
1750414332.868364,1,51.148556
1750414333.011389,0,inf
1750414333.148981,0,inf
1750414333.192835,1,41.767587
1750414333.582690,0,inf
1750414333.750674,0,inf
1750414333.857242,1,inf
1750414333.934554,1,146.751837
1750414334.083322,1,119.500964
1750414334.169316,1,inf
1750414334.258741,1,inf
1750414334.395267,0,inf
1750414334.535458,0,inf
1750414334.622249,1,inf
1750414334.758836,1,inf
1750414334.835699,1,2105.255014
1750414335.033546,0,inf
1750414335.173051,0,inf
1750414335.252643,1,136.452616
1750414335.426383,0,inf
1750414335.662501,0,inf
1750414335.750332,1,inf
1750414335.841686,0,inf
1750414335.912374,1,inf
1750414336.034243,0,inf
1750414336.109411,0,inf
1750414336.351576,1,inf
1750414336.562087,0,inf
1750414336.699580,0,inf
1750414336.780062,0,inf
1750414336.980647,0,inf
1750414337.142057,0,inf
1750414337.258880,0,inf
1750414337.426407,0,inf
1750414337.601834,0,inf
1750414337.771656,0,inf
1750414337.809044,1,inf
1750414338.075013,0,inf
1750414338.223344,0,inf
1750414338.306694,1,inf
1750414338.325384,1,inf
1750414338.464129,1,inf
1750414338.613518,0,inf
1750414338.775982,0,inf
1750414338.872086,0,inf
1750414338.936436,1,inf
1750414339.007728,1,inf
1750414339.092249,1,inf
1750414339.153865,1,inf
1750414339.477191,0,inf
1750414339.496842,1,inf
1750414339.567217,1,inf
1750414339.643018,0,inf
1750414339.748732,0,inf
1750414340.074372,1,inf
1750414340.180111,1,inf
1750414340.266750,1,inf
1750414340.369966,1,inf
1750414340.502120,1,inf
1750414340.593782,1,inf
1750414340.738707,1,inf
1750414340.820611,1,inf
1750414340.903357,1,inf
1750414341.090075,1,inf
1750414341.255136,1,inf
1750414341.328649,1,inf
1750414341.505489,1,inf
1750414341.668383,0,inf
1750414341.910764,0,inf
1750414342.054101,0,inf
1750414342.289818,0,inf
1750414342.320537,0,inf
1750414342.518642,0,inf
1750414342.611770,0,inf
1750414342.774161,0,inf
1750414342.920464,0,inf
1750414343.052343,0,inf
1750414343.078674,0,inf
1750414343.138306,1,40.901592
1750414343.245088,0,inf
1750414343.304473,1,15.208048
1750414343.461490,1,11.964317
1750414343.595208,1,10.173825
1750414343.671796,1,8.780993
1750414343.754914,1,7.082840
1750414343.893191,1,6.793166
1750414344.030070,1,6.103478
1750414344.181065,1,5.896444
1750414344.331768,1,6.334409
1750414344.406346,1,6.969116
1750414344.489097,1,6.624701
1750414344.610049,1,6.475328
1750414344.744472,1,6.443204
1750414344.894326,1,6.611395
1750414344.933811,1,6.773725
1750414345.060774,1,6.088580
1750414345.140133,1,6.550507
1750414345.217155,1,5.979086
1750414345.308414,1,6.110271
1750414345.532801,1,5.176341
1750414345.736215,1,5.159781
1750414345.765870,1,4.887864
1750414345.831749,1,4.902025
1750414346.039446,1,4.796413
